,정점코드,정점명,해안코드,해안,경도,위도,구분,통합코드
0,020201,남해서부01,02,남해,127.2533333333,33.9016666667,근해,근해020201
1,030201,서해중부01,03,서해,125.8333333333,36.3300000000,근해,근해030201
2,010201,동해남부01,01,동해,130.0000000000,36.5050000000,근해,근해010201
3,030101,서해남부01,03,서해,125.5000000000,34.0433333333,근해,근해030101
4,010101,동해중부01,01,동해,129.6883333333,37.8950000000,근해,근해010101
5,020101,남해동부01,02,남해,129.2566666667,34.8983333333,근해,근해020101
6,010202,동해남부02,01,동해,131.2333333333,36.5050000000,근해,근해010202
7,030102,서해남부02,03,서해,124.4000000000,34.0916666667,근해,근해030102
8,020202,남해서부02,02,남해,127.4000000000,33.0000000000,근해,근해020202
9,010102,동해중부02,01,동해,129.6883333333,37.5533333333,근해,근해010102
10,030202,서해중부02,03,서해,125.2066666667,36.3300000000,근해,근해030202
11,020102,남해동부02,02,남해,128.6866666667,34.4933333333,근해,근해020102
12,020103,남해동부03,02,남해,127.9483333333,34.0916666667,근해,근해020103
13,010203,동해남부03,01,동해,130.0000000000,36.0766666667,근해,근해010203
14,010103,동해중부03,01,동해,130.6250000000,37.5533333333,근해,근해010103
15,030103,서해남부03,03,서해,125.7316666667,34.7166666667,근해,근해030103
16,030203,서해중부03,03,서해,124.5850000000,36.3300000000,근해,근해030203
17,020203,남해서부03,02,남해,126.5000000000,33.0000000000,근해,근해020203
18,020204,남해서부04,02,남해,125.6000000000,33.0000000000,근해,근해020204
19,010204,동해남부04,01,동해,130.9183333333,36.0766666667,근해,근해010204
20,010104,동해중부04,01,동해,130.0000000000,37.0566666667,근해,근해010104
21,030104,서해남부04,03,서해,125.0000000000,34.7166666667,근해,근해030104
22,030204,서해중부04,03,서해,125.6283333333,36.9250000000,근해,근해030204
23,010205,동해남부05,01,동해,129.8166666667,35.6883333333,근해,근해010205
24,010105,동해중부05,01,동해,130.9400000000,37.0533333333,근해,근해010105
25,020205,남해서부05,02,남해,124.8000000000,33.4066666667,근해,근해020205
26,030205,서해중부05,03,서해,125.0000000000,36.9250000000,근해,근해030205
27,030105,서해남부05,03,서해,124.3900000000,34.7166666667,근해,근해030105
28,010206,동해남부06,01,동해,130.2816666667,35.5133333333,근해,근해010206
29,030106,서해남부06,03,서해,125.6083333333,35.3350000000,근해,근해030106
30,030206,서해중부06,03,서해,124.3716666667,36.9250000000,근해,근해030206
31,020206,남해서부06,02,남해,125.4000000000,33.4066666667,근해,근해020206
32,030107,서해남부07,03,서해,125.0000000000,35.3350000000,근해,근해030107
33,020207,남해서부07,02,남해,126.4383333333,33.7916666667,근해,근해020207
34,010207,동해남부07,01,동해,129.7150000000,35.2966666667,근해,근해010207
35,030108,서해남부08,03,서해,124.3916666667,35.3350000000,근해,근해030108
36,030109,서해남부09,03,서해,126.0333333333,35.8550000000,근해,근해030109
37,030110,서해남부10,03,서해,125.4066666667,35.8550000000,근해,근해030110
38,030111,서해남부11,03,서해,124.7966666667,35.8550000000,근해,근해030111
39,030112,서해남부12,03,서해,124.3800000000,35.8550000000,근해,근해030112
0,021803,섬진강하구3,02,남해,127.7863888889,35.0166666667,일반,일반021803
1,0302H2,목포항 H02,03,서해,126.3805555556,34.7788888889,일반,일반0302H2
2,0309H1,대천항 H01,03,서해,126.5088888889,36.3316666667,일반,일반0309H1
3,0224H1,제주항 H01,02,남해,126.54,33.5261111111,일반,일반0224H1
4,0204H7,감천항 H01,02,남해,128.9955555556,35.0811111111,일반,일반0204H7
5,0204H4,부산북항 H03,02,남해,129.0638888889,35.1233333333,일반,일반0204H4
6,0204H6,부산남항 H01,02,남해,129.0294444444,35.0930555556,일반,일반0204H6
7,0226H1,성산포항 H01,02,남해,126.9275,33.4708333333,일반,일반0226H1
8,0302H1,목포항 H01,03,서해,126.3886111111,34.7852777778,일반,일반0302H1
9,031510,인천10,03,서해,126.5277777778,37.3666666667,일반,일반031510
10,031513,인천13,03,서해,126.3533333333,37.3263888889,일반,일반031513
11,031601,시화호1,03,서해,126.7119444444,37.2969444444,일반,일반031601
12,0204H5,부산북항 H01,02,남해,129.0483333333,35.1036111111,일반,일반0204H5
13,031509,인천9,03,서해,126.5722222222,37.3388888889,일반,일반031509
14,030902,보령2,03,서해,126.5,36.3061111111,일반,일반030902
15,023601,낙동강하구1,02,남해,128.935,35.1072222222,일반,일반023601
16,020713,마산만13,02,남해,128.5863888889,35.2061111111,일반,일반020713
17,021701,광양만1,02,남해,127.6797222222,34.8513888889,일반,일반021701
18,020711,마산만11,02,남해,128.5769444444,35.1988888889,일반,일반020711
19,020204,온산4,02,남해,129.3588888889,35.4408333333,일반,일반020204
20,020110,울산10,02,남해,129.3833333333,35.4486111111,일반,일반020110
21,020201,온산1,02,남해,129.3580555556,35.4533333333,일반,일반020201
22,020103,울산3,02,남해,129.3986111111,35.4780555556,일반,일반020103
23,010703,삼척3,01,동해,129.2130555556,37.4263888889,일반,일반010703
24,020101,울산1,02,남해,129.4766666667,35.5205555556,일반,일반020101
25,010701,삼척1,01,동해,129.2475,37.3991666667,일반,일반010701
26,010604,동해4,01,동해,129.115,37.6113888889,일반,일반010604
27,010405,주문진5,01,동해,128.8741666667,37.8611111111,일반,일반010405
28,0230H2,한림항 H02,02,남해,126.2597222222,33.4180555556,일반,일반0230H2
29,031521,인천21,03,서해,126.5033333333,37.315,일반,일반031521
30,031522,인천22,03,서해,126.5566666667,37.3194444444,일반,일반031522
31,031605,시화호5,03,서해,126.7561111111,37.2933333333,일반,일반031605
32,031403,아산3,03,서해,126.5194444444,37.0888888889,일반,일반031403
33,031519,인천19,03,서해,126.5555555556,37.3519444444,일반,일반031519
34,031606,시화호6,03,서해,126.6566666667,37.3166666667,일반,일반031606
35,0102H2,속초항 H02,01,동해,128.5991666667,38.2030555556,일반,일반0102H2
36,031202,가로림만2,03,서해,126.3133333333,36.99,일반,일반031202
37,031002,천수만2,03,서해,126.4522222222,36.5313888889,일반,일반031002
38,031005,천수만5,03,서해,126.465,36.3841666667,일반,일반031005
39,031103,태안3,03,서해,126.2347222222,36.6330555556,일반,일반031103
40,031001,천수만1,03,서해,126.4055555556,36.5916666667,일반,일반031001
41,021712,광양만12,02,남해,127.8263888889,34.94,일반,일반021712
42,030903,보령3,03,서해,126.4916666667,36.2458333333,일반,일반030903
43,020705,마산만5,02,남해,128.6025,35.1416666667,일반,일반020705
44,020707,마산만7,02,남해,128.6669444444,35.0808333333,일반,일반020707
45,020708,마산만8,02,남해,128.7211111111,35.0488888889,일반,일반020708
46,021711,광양만11,02,남해,127.7,34.91,일반,일반021711
47,020408,부산8,02,남해,129.0763888889,35.0988888889,일반,일반020408
48,020704,마산만4,02,남해,128.5763888889,35.1777777778,일반,일반020704
49,020407,부산7,02,남해,129.1205555556,35.0722222222,일반,일반020407
50,031303,대산3,03,서해,126.3736111111,37.0791666667,일반,일반031303
51,031402,아산2,03,서해,126.4583333333,37.1680555556,일반,일반031402
52,031203,가로림만3,03,서해,126.2,36.9416666667,일반,일반031203
53,031302,대산2,03,서해,126.3788888889,37.0447222222,일반,일반031302
54,031104,태안4,03,서해,126.3166666667,36.5491666667,일반,일반031104
55,011301,영일만1,01,동해,129.3925,36.0413888889,일반,일반011301
56,010902,후포2,01,동해,129.4836111111,36.6944444444,일반,일반010902
57,031505,인천5,03,서해,126.5666666667,37.4166666667,일반,일반031505
58,031506,인천6,03,서해,126.6013888889,37.375,일반,일반031506
59,031523,인천23,03,서해,126.5052777778,37.2763888889,일반,일반031523
60,030503,함평만3,03,서해,126.3691666667,35.13,일반,일반030503
61,031503,인천3,03,서해,126.5847222222,37.5066666667,일반,일반031503
62,030504,함평만4,03,서해,126.3838888889,35.1116666667,일반,일반030504
63,022201,고흥1,02,남해,127.2433333333,34.5,일반,일반022201
64,021903,여수3,02,남해,127.8052777778,34.7644444444,일반,일반021903
65,021904,여수4,02,남해,127.845,34.6905555556,일반,일반021904
66,021703,광양만3,02,남해,127.6822222222,34.9022222222,일반,일반021703
67,021704,광양만4,02,남해,127.8233333333,34.9208333333,일반,일반021704
68,021705,광양만5,02,남해,127.8011111111,34.8319444444,일반,일반021705
69,021901,여수1,02,남해,127.7661111111,34.7355555556,일반,일반021901
70,020802,진해만2,02,남해,128.6208333333,35.1019444444,일반,일반020802
71,021602,남해2,02,남해,127.9327777778,34.6377777778,일반,일반021602
72,020801,진해만1,02,남해,128.7666666667,35.0333333333,일반,일반020801
73,020702,마산만2,02,남해,128.6041666667,35.1472222222,일반,일반020702
74,020502,낙동2,02,남해,128.9666666667,34.9763888889,일반,일반020502
75,020501,낙동1,02,남해,128.9272222222,35.0127777778,일반,일반020501
76,020401,부산1,02,남해,129.1694444444,35.1472222222,일반,일반020401
77,030502,함평만2,03,서해,126.2922222222,35.165,일반,일반030502
78,022101,여자만1,02,남해,127.4877777778,34.8041666667,일반,일반022101
79,021702,광양만2,02,남해,127.6505555556,34.8838888889,일반,일반021702
80,020601,행암만1,02,남해,128.6916666667,35.1183333333,일반,일반020601
81,020202,온산2,02,남해,129.3575,35.38,일반,일반020202
82,0204H2,부산남항 H02,02,남해,129.0325,35.0847222222,일반,일반0204H2
83,0203H1,대변항 H01,02,남해,129.2286111111,35.2227777778,일반,일반0203H1
84,030802,군산2,03,서해,126.6644444444,36.0,일반,일반030802
85,030806,군산6,03,서해,126.5088888889,36.0583333333,일반,일반030806
86,030807,군산7,03,서해,126.4888888889,36.1166666667,일반,일반030807
87,0115H1,감포항 H01,01,동해,129.5055555556,35.8069444444,일반,일반0115H1
88,030801,군산1,03,서해,126.7191666667,35.9977777778,일반,일반030801
89,030202,목포2,03,서해,126.3805555556,34.8444444444,일반,일반030202
90,030204,목포4,03,서해,126.3419444444,34.7591666667,일반,일반030204
